派,L225b,L2,(8620) 3868 2580 ,男装
REDVALENTINO,L211&L212;,L2,(8620) 8331 1181,女装
罗杰维维亚,L106&L107;,L1,(8620) 3808 8220,鞋 / 包 / 皮具用品
﻿ROSEONLY.,M08,M,(8620) 3868 2303,工艺 / 家居 / 礼品
Salvatore,L110a,L1,(8620) 3868 2530,鞋 / 包 / 皮具用品
Sammy,L203,L2,(8620) 3868 2503,女装
sandro,L229b,L2,(8620) 3808 8202,女装
sandro,L229b,L2,(8620) 3808 8202,男装
盛世长运,M33,M,(8620) 3808 8647,主力店
SEPHORA,MU28,MU,(8620) 3868 2230 ,保健 / 美容护理
单农,M07,M,(8620) 3868 2285,男装
﻿Sony,L308,L3,(8620) 3868 2903,主力店
STELLA,MU32&33,MU,(8620) 3868 2155 ,鞋 / 包 / 皮具用品
顺电,M12,M,(8620) 3808 8419,主力店
新联,M62,M,(8620) 3868 2055,影音 / 电器用品
施华洛世奇,L204,L2,(8620) 3868 2420 ,珠宝 / 钟表 / 饰品
野兽派花店,MU44,MU,18122373386,工艺 / 家居 / 礼品
思睿,L229a,L2,(8620) 3868 2477,女装
Tiffany,L215,L2,(8620) 3868 2282,珠宝 / 钟表 / 饰品
﻿汤美费格,MU05,MU,(8620) 8398 0165,男装
汤美费格,MU05,MU,(8620) 8398 0165,女装
UM,MU08,MU,(8620) 3868 2862,男装
安德玛,MU34,MU,(8620) 3862 5610,休闲服 / 运动用品
优衣库,MU07a,MU,(8620) 3808 8420 ,主力店
VALENTINO,L109,L1,(8620) 2901 9329,女装
范思哲,L118,L1,(8620) 3808 8295,女装
范思哲,L118,L1,(8620) 3808 8295,男装
﻿纬尚时,L230,L2,(8620) 3808 8336,女装
纬尚时,L230,L2,(8620) 3808 8336,男装
维多利亚的秘密,MU13,MU,,女装
广天藏品,M09,M,(8620) 3868 2032,工艺 / 家居 / 礼品
廣天薈珍閣,MOH L102,L1,(8620) 3868 2023,珠宝 / 钟表 / 饰品
达点,M30,M,(8620) 3868 2470,女装
阿原,MU49,MU,(8620) 3808 8228 ,保健 / 美容护理
朱崇恽,L228,L2,(8620) 3868 2315,女装
﻿素然,M54,M,(8620) 3868 2070,女装
